IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.145.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,81,0.78
47.76.49.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,0.77
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,0.77
8.218.136.25,2095,2095,false,HKG,Asia Pacific,Hong Kong,69,0.76
8.210.207.214,2082,2082,false,HKG,Asia Pacific,Hong Kong,54,0.70
47.76.49.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,0.69
47.243.139.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,0.68
47.243.206.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,78,0.67
8.210.66.190,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,0.64
47.242.232.14,2052,2052,false,HKG,Asia Pacific,Hong Kong,81,0.64
8.217.85.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,0.62
8.217.164.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,0.62
47.243.183.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,69,0.62
8.210.65.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,429,0.61
47.243.183.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,78,0.60
8.210.100.23,8880,8880,false,HKG,Asia Pacific,Hong Kong,69,0.60
47.243.183.127,2082,2082,false,HKG,Asia Pacific,Hong Kong,81,0.59
8.210.245.224,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,0.58
8.210.3.24,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,0.57
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,66,0.56
8.210.245.224,2095,2095,false,HKG,Asia Pacific,Hong Kong,69,0.52
8.210.146.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,0.51
47.242.157.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,78,0.50
47.243.139.243,2086,2086,false,HKG,Asia Pacific,Hong Kong,205,0.48
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,0.46
47.242.252.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,0.46
47.242.232.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,0.45
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,0.42
47.243.183.127,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,0.41
47.243.169.63,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,0.39
8.210.207.214,2052,2052,false,HKG,Asia Pacific,Hong Kong,54,0.38
47.76.94.15,80,80,false,HKG,Asia Pacific,Hong Kong,69,0.35
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,360,0.34
47.76.77.103,80,80,false,HKG,Asia Pacific,Hong Kong,78,0.33
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,65,0.28
8.210.175.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,0.25
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,0.20
8.210.55.134,8880,8880,false,HKG,Asia Pacific,Hong Kong,69,0.20
47.243.204.32,8443,443,true,HKG,Asia Pacific,Hong Kong,78,0.18
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,73,0.18
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,56,0.16
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,0.14
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,69,0.13
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,108,0.12
202.81.232.199,44036,443,true,HKG,Asia Pacific,Hong Kong,84,0.08
47.76.94.15,8080,8080,false,HKG,Asia Pacific,Hong Kong,284,0.07
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,78,0.07
8.210.207.214,8080,8080,false,HKG,Asia Pacific,Hong Kong,53,0.05
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,69,0.03
8.210.34.188,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,0.03
8.210.100.23,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,0.02
8.210.100.23,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,0.02
47.243.206.150,2086,2086,false,HKG,Asia Pacific,Hong Kong,57,0.01
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,0.00
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,0.00
8.217.85.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,0.00
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,0.00
8.210.245.224,443,443,true,HKG,Asia Pacific,Hong Kong,81,0.00
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,0.00
120.220.19.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,0.00
123.58.212.186,35123,443,true,HKG,Asia Pacific,Hong Kong,56,0.00
8.217.85.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,0.00
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,72,0.00
47.76.94.15,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,0.00
8.210.34.188,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,0.00
8.217.121.207,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,0.00
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.00
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,74,0.00
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,0.00
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,276,0.00
47.76.77.103,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,0.00
8.210.3.24,2087,0,true,HKG,Asia Pacific,Hong Kong,186,0.00
8.218.3.12,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,81,0.00
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,0.00
103.103.245.205,20018,443,true,HKG,Asia Pacific,Hong Kong,189,0.00
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,0.00
